Company/Brand,HeadQuarter,Sector,What_it_does,Investor,Amount,Stage
Unbox Robotics,Bangalore,AI,"Unbox Robotics builds on-demand AI-driven warehouse robotics solutions, which can be deployed using limited foot-print, time, and capital.","BEENEXT, Entrepreneur First","$1,200,000.00",Pre-series A
upGrad,Mumbai,EdTech,UpGrad is an online higher education platform.,"Unilazer Ventures, IIFL Asset Management","$120,000,000.00",
Lead School,Mumbai,EdTech,LEAD School offers technology based school transformation system that assures excellent learning for every child.,"GSV Ventures, Westbridge Capital","$30,000,000.00",Series D
Bizongo,Mumbai,B2B E-commerce,Bizongo is a business-to-business online marketplace for packaging products.,"CDC Group, IDG Capital","$51,000,000.00",Series C
FypMoney,Gurugram,FinTech,"FypMoney is Digital NEO Bank for Teenagers, empowering them with financial literacy and ease of secured financial transactions.","Liberatha Kallat, Mukesh Yadav, Dinesh Nagpal","$2,000,000.00",Seed
Urban Company,New Delhi,Home services,"Urban Company (Formerly UrbanClap) is a home and beauty services platform in India, Middle East, Singapore and Australia",Vy Capital,"$188,000,000.00",
Comofi Medtech,Bangalore,HealthTech,Comofi Medtech is a healthcare robotics startup.,"CIIE.CO, KIIT-TBI","$200,000.00",
Qube Health,Mumbai,HealthTech,India's Most Respected Workplace Healthcare Management Company,Inflection Point Ventures,$nan,Pre-series A
Vitra.ai,Bangalore,Tech Startup,Vitra.ai is an AI-based video translation platform,Inflexor Ventures,$nan,
Taikee,Mumbai,E-commerce,"Taikee is the ISO-certified, B2B e-commerce platform of Peel-Works, enabling better lives for corner stores.",,"$1,000,000.00",
Fitterfly,Mumbai,HealthTech,"Fitterfly offers customized and personalized wellness programs for diabetes PCOS, pregnancy, weight loss, pediatric and nutrition.","9Unicorns Accelerator Fund, Metaform Ventures","$3,000,000.00",Pre-series A
FreeStand,New Delhi,B2B service,FreeStand enables FMCG brands to execute trackable and scalable product sampling campaigns.,"SucSEED Indovation, IIM Calcutta Innovation Park","$100,000.00",
MyDentalPlan,Bangalore,Helathcare,My Dental Plan provides dental care packages and services.,Safe Planet Medicare,"$700,000.00",Seed
Freyr Energy,Hyderabad,Renewable Energy,"Freyr Energy is a company that provides full service solar provider based in Hyderabad, India.","Impact Partners, C4D Partners","$2,000,000.00",
DealShare,Jaipur,E-commerce,DealShare is a Social Commerce Startup,"Tiger Global Management, InnoVen Capital","$9,000,000.00",
Tessolve,Bangalore,Electronics,"Tessolve Semiconductor offers engineering in semiconductor design, test/product engineering, failure analysis, systems design.",Novo Tellus Capital,"$40,000,000.00",
Smart Joules,New Delhi,Renewable Energy,Smart Joules is an energy management company.,"Raintree Family Office, ADB arm","$49,000,000.00",
ORAI,Bangalore,IT,AI-Powered Robotic Virtual Assistant (RVA) for Amplifying Performance of Poor quality leads and bring more MQL and SQL,Inflection Point Ventures,"$400,000.00",Pre-series A
ixamBee,New Delhi,EdTech,ixamBee is to provide best online learning experience for preparation of competitive exams.,"Mumbai Angels, Narendra Shyamsukha","$300,000.00",Seed
CoinSwitch Kuber,Bangalore,FinTech,CoinSwitch Kuber is an India-based cryptocurrency exchange platform.,"Paradigm, Kunal Shah","$25,000,000.00",Series B
Razorpay,Bangalore,FinTech,"Razorpay is a platform that enables businesses to accept, process, and disburse payments.","Matrix Partners India, GIC","$160,000,000.00",Series E
Uable,Bangalore,EdTech,Uable offers role based programmes to empower children to explore different domains.,"Chiratae Ventures, JAFCO Asia",$nan,Seed
ZFW Hospitality,New Delhi,Food & Beverages,Creating a sustainable and scalable cloud kitchen network.,"Mumbai Angels Network, Expert DOJO","$150,000.00",Pre-seed
Optimized Electrotech,Ahmadabad,Aeorspace,"Long distance, multispectral Surveillance Equipment for Defense, Aerospace, Critical Asset Protection",GVFL,"$1,800,000.00",Pre-series A
Northern Arc,Chennai,FinTech,Northern Arc Capital is a Non-Banking Finance Company that provides borrows with access to debt investors.,"Kotak Mahindra Bank, FMO","$5,000,000.00",
Chara,Bangalore,Deeptech,"A scalable, cloud-controlled, and rare earth mineral free Hardware and Software platform for the Switched Reluctance Motor and other magnet free motor technologies.",Kalaari Capital,"$850,000.00",Seed
Sirona Hygiene,New Delhi,HealthTech,Solving unaddressed Intimate & Menstrual Hygiene issues with our award-winning innovative & modern products.,"NB Ventures, IAN Fund","$3,000,000.00",Series A
Pristyn Care,Gurugram,HealthTech,Pristyn Care is Health Care Startup that is disrupting Elective Surgery Procedures,"Sequoia Capital India, Hummingbird Ventures","$53,000,000.00",Series D
TrulyMadly,New Delhi,Dating,Trulymadly is a dating platform that uses a match making algorithm.,"Gaurav Munjal, Snehil Khanor","$2,000,000.00",Pre-series A
Vidyakul,,EdTech,Vidyakul is an vernacular e-learning platform that helps state board students to learn academics via pre-recorded and live lectures,"JITO Angel Network, SOSV","$500,000.00",Seed
Jambox Games,Bangalore,Gaming,"A competitive game publishing platform to help developers in India and Southeast Asia to publish their games, and compete with the global incumbents.",,"$1,100,000.00",Seed
Miko,Mumbai,Robotics,"Miko is an advanced robotics startup focusing on robotics, AI & IoT.","Chiratae Ventures, YourNest Venture Capital","$6,000,000.00",
SuperK,Small Towns,Retail,SuperK is a full-stack solution to empower small format retail stores in India.,STRIVE VC,"$800,000.00",Seed
TagZ Foods,Bangalore,Food,TagZ Foods is a supplier of snacks and food products.,Venture Catalysts,"$500,000.00",Pre-series A
Fuel Buddy,New Delhi,Oil & Energy,FuelBuddy is the FIRST legal private company in India to have permissions in place to deliver fuel. FUELDELIVERY APP.,Jaipuria Family Office,"$1,000,000.00",
M1xchange,Gurugram,FinTech,M1 an online exchange for TReDS set up under the approval RBI to facilitate discounting of invoices on a PAN India basis.,Amazon,"$10,000,000.00",
Spintly,Goa,Tech Startup,Wireless cloud based access control platform,Riso Capital,"$500,000.00",
EF Polymer,Rajsamand,AgriTech,Sustainable Agriculture by creating sustainable inputs solution for agriculture to save water and fertilizer with enhancing yield.,MTG Ventures,"$200,000.00",
boAt,New Delhi,Electronics,boAt is a consumer electronics and lifestyle company.,"Qualcomm Ventures, Warburg Pincus","$6,000,000.00",
TruNativ,Mumbai,Food & Beverages,TruNativ Foods & Beverages Pvt Ltd,9Unicorns,$nan,Seed
iBus,Bangalore,Telecommunications,iBus Networks is an in-building connectivity solutions company,Morgan Stanley,"$21,000,000.00",
Puresh Daily,Ranchi,Milk startup,PUREandFRES-Milk delivers fresh milk directly from its farm to home. Fresh Milk without any trace of chemicals is packed and sealed in glass bottle.,"Alfa Ventures, Agility Venture Partners","$100,000.00",Seed
LearnVern,Ahmadabad,EdTech,LearnVern.com is a training portal where anyone can learn any course in vernacular languages for free.,,"$1,000,000.00",
LimeChat,Faridabad,AI Chatbot,Limechat provides a personalised shopping experience for D2C companies on chat platforms using L3 conversational AI.,"Stellaris Venture Partners, Ramakant Sharma","$7,500,000.00",Seed
Dybo,Bangalore,IT,Product Visualisation Technology for Commerce,Spanache,"$100,000.00",Seed
moEVing,Gurugram,Logistics,"Delivering clean, cost-effective and efficient mobility solutions.",,"$1,000,000.00",Seed
WeWork India,Bangalore,Hospitality,"Transform buildings into beautiful, collaborative workspaces and provide infrastructure, services, events and tech",,"$26,000,000.00",
Solethreads,Gurugram,Fashion,SOLETHREADS is a ‘Made in India’ footwear brand that’s creating a flip flop revolution.,"DSG Consumer Partners, Saama Capital","$1,000,000.00",Series A
Beldara,Mumbai,E-commerce,"BELDARA.COM IS A GLOBAL B2B marketplace, enables businesses to sell worldwide.",Hindustan Media Ventures,"$7,400,000.00",
CredFlow,New Delhi,FinTech,CredFlow provides financial solutions to automate your cashflows.,"Stellaris Venture Partners, Omidyar Network India, Flourish Ventures","$2,000,000.00",Seed
Do Your Thng,Gurugram,Marketing,World's first shared economy platform for digital assets.,"Angelbay Holdings, Faad Network","$1,500,000.00",
Oye Rickshaw,Gurugram,Transportation,Oye Rickshaw is an electric vehicle energy solutions company that connects people with public transportation using a booking app.,"Alteria Capital, Chiratae Ventures","$3,000,000.00",
Legitquest,New Delhi,LegalTech,LegitQuest is a legal-tech company that operates a legal research platform with Indian case laws.,"WaterBridge Ventures, Info Edge","$600,000.00",
Swiggy,Bangalore,Food delivery,Swiggy is an on-demand food delivery platform that brings food from neighborhood restaurants directly to customers' doors.,"Carmignac, Falcon Edge Capital","$800,000,000.00",
AntWak,Bangalore,EdTech,AntWak provides a video platform for e-learning service.,"Vaibhav Domkundwar, Kunal Shah",$nan,Seed
PlayShifu,Bangalore,EdTech,PlayShifu is an EdTech startup that offers teaching/learning tools for kids (4-12 years of age).,"Chiratae Ventures, Bharat Innovation Fund","$17,000,000.00",Series B
Pitstop,Bangalore,Automotive,Pitstop offers general repair and maintenance services for cars through its doorstep service vehicles.,"Acko Technology, Services, LetsVenture","$3,500,000.00",Pre-series B
Lendingkart,Gujarat,FinTech,Lendingkart is an online financing company dedicated to help entrepreneurs and small businesses with Working Capital Loans.,"Bertelsmann India Investments, Fullerton Financial Holdings","$15,000,000.00",Debt
CRED,Bangalore,FinTech,CRED is a members-only credit card management and bill payments platform that rewards users every time they pay their credit card bills.,"Dragoneer Investment Group, Tiger Global Management","$215,000,000.00",Series D
Karnival,Bangalore,SaaS,A SAAS platform for retailers and brands to create wonderful post purchase customer journeys using smart receipts technology,http://100x.vc/,"$2,500,000.00",Seed
PharmEasy,Mumbai,HealthTech,"PharmEasy is a health tech startup offering services such as teleconsultation, medicine deliveries, and diagnostic test sample collection.","TPG Growth, Caisse de Depot et Placement du Quebec","$350,000,000.00",Series E
WESS,Mumbai,Renewable Energy,Waaree is India's Largest Solar Module Manufacturer & fastest growing EPC company with Presence across 68 countries.,Centrum Financial Services,"$2,000,000.00",Seed
ShopSe,Mumbai,FinTech,Make purchases online or at neighborhood store in easy EMIs through ShopSe.,"Chiratae Ventures, BEENEXT","$5,500,000.00",
Fantasy Akhada,Gurugram,Fantasy sports,Fantasy Akhada offers fantasy sports platform for cricket and football.,Harsha Bhogle,"$600,000.00",
Rage Coffee,New Delhi,Food & Beverages,Rage Coffee is infused with plant based vitamins. These 100% natural extracts are typically found in foods.,"GetVantage, Prakash Katama",$nan,Pre-series A
Groww,Bangalore,FinTech,Groww is an investment platform that offers a new way of investing money with stockbroking and direct mutual funds.,"Tiger Global Management, Y Combinator Continuity Fund","$83,000,000.00",Series D
Avanti Finance,Bangalore,FinTech,Avanti Finance lends relatively large but trust-based loans without formal credit footprint.,Michael & Susan Dell Foundation,"$26,000,000.00",Series A
Kudos,Pune,FinTech,"Kudos is a full stack NBFC, a digital lending engine with an in-built API lending protocol layer of over 20+ API’s.",Marquee fintech founders,$nan,Pre-series A
OfBusiness,Gurugram,FinTech,OfBusiness is a financing platform that offers smart financing to SMEs.,"Falcon Edge India, Norwest Venture Partners","$110,000,000.00",
Superpro.ai,Bangalore,Video communication,Enabling independent professionals to bring offline consulting online with AI,"SOSV, Omphalos Ventures India","$3,000,000.00",Seed
ShareChat,Bangalore,Social Media,ShareChat is a social networking and regional content platform.,"Twitter Ventures, Pawan Munjal","$500,000,000.00",
WiT-ACE,Gurugram,Skill development,"Offer accelerated career experiences for women by Enabling, Engaging & Employing them to be in decision making roles.",CitiusTech,"$1,000,000.00",Seed
Spinny,Gurugram,Retail,Spinny is a used car buying platform enabling trustworthy and hassle-free transactions.,"Arena Holdings, Think Investments","$65,000,000.00",Series C
Alteria Capital,Mumbai,FinTech,Alteria Capital is a Venture debt firm .,,"$150,000,000,000.00",Debt
Safexpay,Thane,FinTech,SafexPay is set up with the aim to build digital payments businesses and channel platforms encompassing payment gateways,"T Choithrams BVI, Ardor","$6,000,000.00",
PumPumPum,Gurugram,Rental,Pumpumpum is a car rental company.,"Kogta Financial India Limited, ICICI Bank","$700,000.00",Pre-series A
Speciale Invest,Bangalore,FinTech,Speciale Invest is an early stage investor focusing on Tech-driven/Deep-tech ventures.,,"$10,000,000.00",
Eunimart,Hyderabad,E-commerce,Eunimart is a one stop solution for merchants to create a difference by selling globally.,"SucSEED Venture Partners, TMT Connekt","$700,000.00",Pre-series A
Meesho,Bangalore,E-commerce,Meesho operates as an online reselling platform that enables anyone to start a business without investment.,"SAIF Partners, Venture Highway","$300,000,000.00",
CareerLabs,Bangalore,EdTech,"Aim to help students become future-ready, setting them on a path to success that suits them best.",Global Founders Capital,"$2,200,000.00",
Uable,Bangalore,EdTech,Uable are on a bold mission to redefine the future for millions of teenagers around the world.,"JAFCO Asia, Chiratae Ventures","$35,000,000.00",Pre-series A
Zoko,Bangalore,Tech Startup,"Zoko makes it easy for businesses to do Sales, Marketing & Customer Support on WhatsApp.",Y Combinator,"$140,000,000.00",Seed
GetWork,Gurugram,Recruitment,GetWork is a campus recruiting platform to post your jobs and hire across dozens of colleges at once.,Artha Venture Fund,"$200,000.00",Seed
Easebuzz,Pune,E-commerce,Easebuzz is an easy to use portal which allows you to start an online business and sell your favorite products with a free online store.,"Jitendra Gupta, Amrish Rau","$4,000,000.00",Series A
Chingari,Bangalore,Social Media,Chingari operates as a short video platform.,"FJ Labs, Brian Norgard","$13,000,000.00",
DusMinute,Bangalore,Retail,DusMinute aims to transform how communities live by giving them access to world-class amenities at their doorstep.,Indian Angel Network,"$1,100,000.00",Pre-series A
Onsurity,Bangalore,HealthCare,Onsurity is an employee healthcare platform providing a monthly healthcare membership with group health insurance to emerging businesses.,"Jitendra Gupta, Harsh Shah",$nan,
Karbon Card,Bangalore,FinTech,Prime objective is to empower Indian startups by creating the right financial products starting with a high-limit corporate credit card with unlimited benefits,Y Combinator,$nan,
Factors.AI,Bangalore,SaaS,"Factors.AI is a Marketing Analytics platform providing sophisticated omnichannel, every-touch attribution technology and unparalleled performance insights for Marketers","Elevation Partners, Emergent Ventures","$2,000,000.00",
Elevar,Mumbai,Sports,"A Revolutionary Sports Brand, Engineered For Those Who Want More.","Kalaari Capital, Dream Capital","$2,000,000.00",
Studio Sirah,Bangalore,Computer Games,Studio Sirah is founded with a belief in the increasing sophistication of the Indian gamer and the whitespace of midcore India-first games.,Lumikai,"$800,000.00",
OTO Capital,Mumbai,FinTech,The Future Of Vehicle Ownership!,Matrix Partners India,"$6,000,000.00",
1Bridge,Bangalore,Consumer Goods,"Village Commerce Network - Bridging Aspirations, Creating Opportunities, Bringing Prosperity & Abundance to our village",C4D Partners,"$2,500,000.00",
Skeps,Gurugram,FinTech,"A blockchain products company, developing a proprietary product in the FinTech space",Bertelsmann India,"$9,500,000.00",
Curefoods,Bangalore,Food & Beverages,Healthy & nutritious foods and cold pressed juices produced in Edinburgh. Currently distributing wholesale within the Edinburgh region.,"Iron Pillar, Nordstar, Binny Bansal","$13,000,000.00",
TartanSense,Bangalore,IT,TartanSense unlocks value for small farm holders by working at the intersection of robotics and AI assisted computer vision.,"FMC, Omnivore, Blume Ventures","$5,000,000.00",
Bewakoof,Mumbai,Apparel & Fashion,"Bewakoof is a lifestyle fashion brand that makes creative, distinctive fashion for the trendy, contemporary Indian.",InvestCorp,"$8,000,000.00",
Kirana247,New Delhi,Logistics & Supply Chain,An on-demand FMCG supply chain company leveraging a deep tech-enabled micro warehousing model to serve Kirana stores.,,"$1,000,000.00",
FanPlay,,Computer Games,A real money game app specializing in trivia games,"Pritesh Kumar, Bharat Gupta","$1,200,000.00",
NeoDocs,Mumbai,HealthTech,"Neodocs is a part of India's prominent Social Impact Accelerator program, AISEA.","Y Combinator, 9Unicorns, Titan Capital",$nan,
IsGoingOnline,Cochin,Retail,Kochi-based digital catalogue and marketplace IsGoingOnline,"Unicorn India Ventures, SEA Fund, Devdatt Shah","$200,000.00",
Camp K12,Gurugram,EdTech,"Camp K12 is a global online school for 21st century skills, teaching Coding and other STEAM subjects to kids age 6-18 via LIVE, interactive, gamified online sessions","Matrix Partners India, Elevation Capital","$12,000,000.00",
Elda Health,Bangalore,HealthCare,"Elda Health is a digital wellness platform that understands women intimately and offers a holistic wellness solution through physical, mental and social interventions.","Avaana Capital, Orios Ventures","$1,500,000.00",
Sporjo,Mumbai,SportsTech,A one stop destination to build a successful career in the Indian sports industry!,Punit Balan,"$2,000,000.00",
Advantage Club,Mumbai,HRTech,"Advantage Club is India's largest employee engagement platform, Provide end to end employee benefit management with state of the art products like:","Y Combinator, Broom Ventures, Kunal Shah","$1,700,000.00",
SuperGaming,Pune,Gaming,"At SuperGaming, building India's best gaming company.","Skycatcher, AET Fund, BAce Capital, Dream Incubator, 1Up Ventures","$5,500,000.00",
Ruptok,New Delhi,FinTech,"Ruptok fintech Pvt. Ltd. is an online gold loan service provider , with attractive interests rate .",Eclear Leasing,"$1,000,000.00",
TartanSense,Bangalore,IT,TartanSense unlocks value for small farm holders by working at the intersection of robotics and AI assisted computer vision.,"FMC, Omnivore, Blume Ventures","$5,000,000.00",Series A
Kirana247,New Delhi,Logistics & Supply Chain,An on-demand FMCG supply chain company leveraging a deep tech-enabled micro warehousing model to serve Kirana stores.,,"$1,000,000.00",Pre-series A
NeoDocs,Mumbai,HealthTech,"Neodocs is a part of India's prominent Social Impact Accelerator program, AISEA.","Y Combinator, 9Unicorns, Titan Capital",$nan,Pre-seed
IsGoingOnline,Cochin,Retail,Kochi-based digital catalogue and marketplace IsGoingOnline,"Unicorn India Ventures, SEA Fund, Devdatt Shah","$200,000.00",Pre-series A
Camp K12,Gurugram,EdTech,"Camp K12 is a global online school for 21st century skills, teaching Coding and other STEAM subjects to kids age 6-18 via LIVE, interactive, gamified online sessions","Matrix Partners India, Elevation Capital","$12,000,000.00",Series A
Elda Health,Bangalore,HealthCare,"Elda Health is a digital wellness platform that understands women intimately and offers a holistic wellness solution through physical, mental and social interventions.","Avaana Capital, Orios Ventures","$1,500,000.00",Seed
Sporjo,Mumbai,SportsTech,A one stop destination to build a successful career in the Indian sports industry!,Punit Balan,"$2,000,000.00",Pre-series A
SuperGaming,Pune,Gaming,"At SuperGaming, building India's best gaming company.","Skycatcher, AET Fund, BAce Capital, Dream Incubator, 1Up Ventures","$5,500,000.00",Series A
O’ Be Cocktails,Bangalore,Wine & Spirits,India’s first and only Ready to Drink Premium Cocktails.,"First Cheque, Letsventure","$400,000.00",
Zetwerk,Bangalore,Mechanical & Industrial Engineering,ZETWERK is a universal manufacturing network powered by new-age technology.,,"$150,000,000.00",Series E
AppsForBharat,Bangalore,Spiritual,"A mission to assist a billion Indians in their spiritual journey and help them feel happier, peaceful & more content.","Sequoia Capital India, BEENEXT","$4,000,000.00",Seed
Imagimake,Mumbai,Consumer Goods,"Imagimake – one of the fastest growing and most innovative start-up in the field of Toys, Games & Artist Supplies.",Velocity,$nan,
Khatabook,Bangalore,Financial Services,Khatabook is the world's fastest-growing Saas company. It has become India's leading business management app for MSMEs with 50M+ downloads in a remarkably short period of time.,"Tribe Capital, Moore Strategic Ventures (MSV)","$100,000,000.00",Series C
Smytten,Gurugram,Consumer Goods,India's largest premium discovery and trial platform!,Fireside Ventures,"$6,000,000.00",Series A
Syook,Bangalore,Industrial Automation,Syook is building the next generation enterprise IOT platform.,"Inflection Point Ventures, ONGC","$1,000,000.00",Series A
Akudo,Bangalore,FinTech,Akudo is pioneering the concept of Learning-First Banking for Teenagers.,"Y Combinator, Incubate Fund India",$nan,Pre-seed
NOTO,Mumbai,Consumer Goods,"A healthy, low-calorie ice cream for the millennial Indian with an incurable sweet tooth.","Titan Capital, Rockstud Capital,  John Abraham, WEH Ventures","$500,000.00",Pre-series A
Lumiq,Noida,IT,Help enterprises monetize their data and reinvent the digital transformation journey.,Info Edge Ventures,"$2,000,000.00",Seed
CommerceUp,Gurugram,IT,Grow and manage ecommerce business from single dashboard,NB Ventures,$nan,Seed
Breathe Well-being,Gurugram,Health,"Help people to prevent, manage or reverse Type 2 Diabetes through our clinically proven digital program.",Accel,"$5,500,000.00",Series A
Hike,New Delhi,IT,Hike is an Indian AI-led Unicorn startup that is committed to building a new social future.,"Binny Bansal, Kunal Shah",$nan,
House of Kieraya,Bangalore,Lifestyle,"House of Kieraya, well-known for furniture and lifestyle rental brand ?Furlenco",TradeCred,"$15,000,000.00",
goEgoNetwork,Pune,Automotive,"goEgo is a complete E Mobility charging solution, that combines engagement, rewards & adoption through a mix of online and offline channels.",,"$2,000,000.00",
Probus,New Delhi,IoT,"A mission to increase the per capita consumption of electricity in India by 10X, which is presently 1/3 of global average- by reducing the distribution losses in Indian electricity distribution grid.",Unicorn India Ventures,"$500,000.00",Bridge
DrinkPrime,Bangalore,Consumer Goods,India's Smartest Water Purifiers and are redefining water purifier ownership.,"UC Inclusive Credit, Western Capital","$1,000,000.00",
Smart Express,Mumbai,Logistics,India’s Most Innovative and Awarded Express Logistics Company.,"IIFL India Private Equity Fund, Smiti Holding & Trading Company","$10,000,000.00",Seed
Smallcase,Bangalore,FinTech,Smallcase is a new way to invest in the stock markets.,Faering Capital,"$40,000,000.00",Series C
SATYA MicroCapital,New Delhi,Banking,Satya MicroCapital Limited is a Delhi based NBFC serving low income entrepreneurs in rural and urban areas.,"responsAbility Investments, Blue Orchard","$10,000,000.00",
Snack Amor,Mumbai,Food & Beverages,"Snack Amor aims is to offer a healthy, natural and tasty snacking experience to its customers.","Sanchit Agarwal, Sujan Sinha, Michael Cooke",$nan,
Postman,Bangalore,Computer Software,Postman is the collaboration platform for API development.,"CRV, Nexus Venture Partners","$225,000,000.00",Series D
Hashnode,Bangalore,Computer Software,The easiest way to start a blog on personal domain for free & connect with the readers through our dev community,"Salesforce Ventures, Sierra Ventures, Sequoia Capital India’s Surge","$6,700,000.00",Series A
RACEnergy,Hyderabad,Automotive,RACEnergy is working to power the future of mobility through clean and efficient technologies.,"Micelio Fund, growX ventures","$1,300,000.00",Seed+
BharatPe,New Delhi,FinTech,The vision to make financial inclusion a reality for Indian merchants.,"IIFL Wealth, Asset Management, Northern Arc Capital","$20,000,000.00",Debt
Gyde,Pune,Computer Software,"Gyde is a SAAS product that enables enterprises & SAAS companies to guide their application (web & mobile) users with step-by-step voice assistance, byte-sized training videos & rich help articles.","Better Capital, Ashish Achrekar","$250,000.00",Seed
BatteryPool,Pune,Automotive,Building the Operating System for managing Electric Vehicles in fleets.,IAN,$nan,Seed
AgNext,Chandigarh,AgriTech,"AgNext is a fast-growing AgTech company that aims to solve quality and trust in food value chains by making them safer, transparent and fairer.",Alpha Wave Incubation,"$21,000,000.00",Series A
Xpresslane,Bangalore,Tech Startup,"Xpresslane makes checkout fast and easy. With a unified identity across all e-commerce merchants, it brings efficiency and perfection in the overall checkout experience of the user.","Point One Capital, Yatra Angel Network (YAN), Opus Consulting, Manipal Technologies.","$400,000.00",Pre-seed
LoanKuber,New Delhi,Digital mortgage,LoanKuber is the lowest cost lender to Yest-to be Bankable - enabling borrowing with trust and confidence.,,"$1,200,000.00",Pre-series A
OYO,Gurugram,Hospitality,OYO is a global travel tech company that connects its patrons and guests.,Microsoft,"$5,000,000.00",Series F2
Rapido,Bangalore,Information Technology & Services,Rapido is a bike taxi service spread widely across all of India from Tier 1 to Tier 3 cities.,"Shell Ventures, Yamaha, Kunal Shah","$52,000,000.00",
YPay,Noida,FinTech,YPay Card is the new way to manage money.,We Founder Circle,"$400,000.00",
SleepyCat,Mumbai,Furniture,An online sleep solutions company that believes in delivering luxurious sleep to everyone.,"Saama Capital, DSG Consumer Partners, Sharrp Ventures","$3,800,000.00",
Ultrahuman,Bangalore,HealthCare,Ultrahuman is a global health and fitness platform that aids our user to achieve their true physical and mental potential.,Tiger Global’s Scott Schleifer,"$17,500,000.00",
UpScalio,Gurugram,E-commerce,"UpScalio is India’s next generation, data-driven consumer goods company.",,"$42,000,000.00",
Yellow Class,Gurugram,EdTech,"Yellow Class is a new-age fun-learning platform where kids between 2-12 years can learn from a wide range of classes like dancing, drawing, personality development, creative writing and so on",Elevation Capital,"$6,000,000.00",
Yojak,Gurugram,B2B Marketplace,India’s first B2B online marketplace for building material.,Info Edge Ventures,"$3,800,000.00",
CreatorStack,Bangalore,Computer Software,Helping creators globally to engage deeply with their fans and communities,Accel,"$2,000,000.00",
Expertrons,Mumbai,EdTech,The world's largest AI Videobot platform providing futuristic solutions for businesses & colleges and employment,"Venture Catalysts, Auxano Capital, Venture Garage, Yoga Capital, Ah!Ventures, Lead Angels","$2,300,000.00",
Rage Coffee,New Delhi,Food & Beverages,"Rage Coffee is a digitally native FMCG company that manufactures, markets & distributes innovative coffee products.",Sixth Sense Ventures,"$5,000,000.00",
Klub,Bangalore,Financial Services,Klub was founded with the vision of revolutionizing growth capital for Asia’s most loved brands.a,"9Unicorns, Sequoia Capital India’s Surge","$20,000,000.00",
Navia Life Care,New Delhi,HealthCare,Navia Life Care is a health technlogy company with a special focus on patient care.,"Anicut Angel Fund, 9 Unicorns","$1,000,000.00",
1K Kirana Bazaar,Gurugram,Retail,India's First and Largest Network of Small-Town Kirana Stores,"Info Edge, FalconEdge","$7,000,000.00",
Zupee,Gurugram,Gaming,"Mission to improve people’s lives by improving their learning ability, skills and mental aptitude through scientifically designed mental exercises, applications","WestCap Group, Tomales Bay Capital","$30,000,000.00",
Locale.ai,Bangalore,Location Analytics,Location Analytics for Companies With Moving Assets and Ground Operations.,"Chiratae Ventures, Better Capital","$1,000,000.00",
VerSe Innovation,Bangalore,Media,"The core of the company (VerSe Innovation), is the idea that technology can help bridge the digital divide.","Siguler Guff, Baillie Gifford","$450,000,000.00",
MetroRide,Bangalore,Transportation,"Urban Mobility Affordable, Punctual & Sustainable.",,$nan,
Miko,Mumbai,Consumer Electronics,"Miko is an advanced robotics startup founded by three IIT Bombay post-graduates on the pillars of robotics, AI & IoT.","IIFL AMC, Mankind Pharma Family Office, Aroa Ventures","$28,000,000.00",
Whiz League,New Delhi,EdTech,Revolutionizing learning experience that goes beyond academia,ITI Growth Opportunities,"$300,000.00",
Hash,New Delhi,Tobacco,Hash is a new startup in consumer goods.,Amrac Investment Trust,"$3,500,000.00",
Unacademy,Bangalore,EdTech,Unacademy aims to build the world's largest online knowledge repository for multi-lingual education.,Bhavin Turakhia,$nan,
Log 9 Materials,Bangalore,Deeptech,Log9 Materials is on a mission to make global energy 100% clean.,Amara Raja Batteries,"$8,500,000.00",Series A+
upGrad,Mumbai,EdTech,"upGrad is India’s largest online higher education company providing programs in Data Science, Technology, Management and Law, to students, working professionals and enterprises.",India Infoline Finance,"$25,000,000.00",
FlashPrep,Bangalore,EdTech,FlashPrep is the smart way to master learning.,Venture Highway,"$500,000.00",Pre-seed
Kenko Health,Mumbai,InsureTech,"A unique healthcare financing solution focusing on ROI, affordability and superior customer experience","BEENEXT, Orios","$1,700,000.00",Pre-series A
Wiz Freight,Chennai,Logistics & Supply Chain,"Wiz is a tech-enabled freight forwarding platform. We make global shipping efficient, hassle-free and highly visible for businesses.",Axilor,"$3,500,000.00",Seed
Credgenics,New Delhi,Financial Services,Credgenics is India’s first of it's kind NPA resolution platform backed by credible investors including Accel Partners and Titan Capital.,"Westbridge Capital, Tanglin Venture Partners","$25,000,000.00",Series A
BlueLearn,Goa,EdTech,"Building India's largest student community. Learn, network, and grow together with 40,000+ students!","100X.VC﻿,﻿ Titan Capital, Rahul Mathur, Gaurav Mandlecha","$400,000.00",Pre-seed
NimbleBox.ai,Chennai,MLOps platform,A full-stack MLOps platform built to create & launch multi-cloud apps on the cloud,Venture Catalysts,"$1,000,000.00",Seed
Pickrr,Gurugram,Logistics & Supply Chain,India's 1st Virtual Logistics solution catering to Global Brands/SMEs/Online sellers/AmazonSellers,"IIFL, Amicus Capital, Ananta Capital","$12,000,000.00",Series B
Stellaris Venture Partners,Bangalore,Venture Capital,Early-stage tech VC in India.,,"$225,000,000.00",
Grip Invest,Gurugram,Financial Services,"Grip offers investment opportunities to invest in physical assets leased to corporates, to earn fixed monthly returns.","Venture Highway, Endiya Partners","$3,000,000.00",Series A
