Company/Brand,HeadQuarter,Sector,What_it_does,Investor,Amount,Stage
DcodeAI,New Delhi,EdTech,EMPOWER LEARNERS TO BE FUTURE READY USING AI,S Chand,"$500,000.00",
Biocon Biologics,Bangalore,BioTechnology,"Biocon is a fully integrated pure play biosimilars organization, globally engaged in developing high quality affordable biosimilars.","Goldman Sachs, Tata Capital","$70,000,000.00",
KiranaKart,Mumbai,E-commerce,A better model for instant grocery delivery in India.,Global Founders Capital,"$720,000.00",Pre-seed
Meddo,Gurgaon,HealthCare,Meddo is an end-to-end medical services provider,"growX ventures, Venture Gurukool","$3,000,000.00",Pre-series A
SP Robotic Works,Chennai,EdTech,An innovative place to explore next-generation technologies for students and all tech enthusiasts.,Mount Judi India Growth Fund,"$3,000,000.00",Series A
3SC,Gurugram,Logistics,An end-to-end supply chain analytics company that provides execution and analytics solutions which are comprehensive and customized.,GEF Capital’s South Asia Fund,"$15,000,000.00",Series B
Chai Waale,Chennai,Food & Beverages,"A wide range of exotic flavoured chai, in the most hygienic ambience at pocket-friendly prices.","Sunil Sethia, Sunil Kumar Singhvi, Manish Mardia","$600,000.00",
Minimalist,Jaipur,Cosmetics,Affordable skincare for all,Sequoia Capital,"$10,000,000.00",Series A
Biconomy,New Delhi,Blockchain,Developer platform to enable a simplified transaction and onboarding experience for Web3 projects,"Mechanism Capital, DACM","$9,000,000.00",
Fixcraft,Gurugram,Automotive,India's Most Trusted Automotive Repair Brand,,"$1,000,000.00",Pre-series A
Slice,Bangalore,Financial Services,"Slice is India's best credit card challenger to pay bills, manage expenses, and unlock rewards","Northern Arc Capital, Niyogin Fintech Limited, Credit Saison India, Vivriti Capital","$10,000,000.00",
90+ My Tuition App,Bangalore,EdTech,Daskalos Virtual Academy Pvt Ltd is a company set up by a group of professionals who perform innovative work in management.,Pearl Investment LLC,"$5,000,000.00",Series A
Wasabi,Bangalore,Consulting,Help small businesses grow their sales via our customer interaction and growth platform.,"021 Capital, Sparrow Capital","$1,800,000.00",Seed
Strata,Bangalore,Real Estate,Strata is an innovative tech-driven platform redefining Fractional Investments in Premium Commercial Real Estate,"Kotak Investment Advisors Limited, Gruhas Proptech","$6,000,000.00",Series A
Ourbetterplanet,Bangalore,E-commerce,A curated online marketplace for all things sustainable!,VANS Group,"$300,000.00",Seed
Murf.ai,Bangalore,SaaS,"Murf AI is working on simplifying voice audio and making high-quality voice overs accessible to everyone, using artificial intelligence.",Elevation Capital,"$1,500,000.00",Seed
JetSynthesys,Pune,Media,"JetSynthesys is the group's most innovative company in the promising Digital and Technology Business World with a vision to create world class digital products, platforms and services in India",Sachin Tendulkar,"$2,000,000.00",
MYFITNESS,Silvassa,Fitness,"A new age D2C health & fitness brand with a mission to deliver products that taste good, feel good and do good.",9Unicorns,"$1,000,000.00",Seed
I am Love,Mumbai,HealthCare,"I am Love came into existence in early 2020, with the aim of redefining the relationship we have with our health.",Xentel Investments,"$4,000,000.00",Seed
MyGlamm,Mumbai,D2C,MyGlamm is India’s fastest growing direct-to-consumer beauty brand.,Accel Partners,"$40,000,000.00",
Gumlet,Bangalore,IT,Gumlet has built a new-age media delivery infrastructure that provides low code or no-code integration plugins that automate the entire media publishing pipeline.,Sequoia’s Surge,"$1,600,000.00",
Eloelo,Bangalore,Gaming,Creator-led Social Gaming & Live Streaming Platform,"Waterbridge, Lumikai","$2,000,000.00",Pre-series A
Edukemy,Noida,EdTech,"Edukemy is the first EdTech company in the country, in the non –STEM segment, offering an immersive learning experience to the students, supported by cutting-edge technology and an AI-based evaluation system.","Auxano, Falcon5","$2,000,000.00",Pre-series A
Zingbus,Gurugram,Mobility,Zingbus is a renowned brand in the bus operating industry.,Infoedge ventures,"$5,000,000.00",Pre-series A
NewsReach,Ahmedabad,Media,NewsReach is a Mumbai based company that wants to create a disruptive ecosystem of original and local news content.,JITO Angel Network,"$300,000.00",Seed
Pencilton,Hyderabad,FinTech,"India's first app for kids & teens to manage and spend pocket money while learning about money in a fun, gamified way.",Jupiter,"$330,000.00",Pre-seed
Bandhoo,Gurugram,IT,"Bringing ease of eCommerce to Construction for builders, infrastructure companies, contractors and workers",Unitus Ventures,"$1,000,000.00",
ixigo,Gurugram,IT,"AI-based travel app offering seamless planning and booking for flights, trains, buses, hotels and more!","GIC, Infoedge","$53,000,000.00",
The Whole Truth,Mumbai,Food & Beverages,"Believe simple, homely ingredients, minimally processed, are the secret to nutritious, tasty food",Sequoia Capital,"$6,000,000.00",Series A
Insane AI,Bangalore,Fitness,Mainstream fitness formats are a primitive solution to the modern problems of a sedentary lifestyle.,pi Ventures,"$800,000.00",Seed
Learn4o Technology,Jaipur,E-learning,"Trying to solve the problem of unemployment in young graduates, who, despite having college degrees, don't have the skills for the real world.",IAN,$nan,Seed
Droom,Gurugram,Automobile,"Droom is an AI and data science driven online transactional platform, which offers 21st century experience in buying & selling used & new automobiles in India",,"$200,000,000.00",
Skymet,Noida,Environmental Services,Provide services that allow clients to understand and organize themselves around changing environment.,"Northern Arc, Caspian Impact Investments","$1,000,000.00",
Go Swift,Bangalore,Consumer Services,Help small & medium sized businesses to grow by helping them with their shipping requirements at the cheapest and most reliable service.,Kalaari Capital,"$2,000,000.00",Pre-series A
Mamaearth,Gurugram,HealthCare,A brand which develops products from world-class research and attempts to solve every little problem that we as parents face.,Sofina Ventures SA,"$50,000,000.00",
G.O.A.T,Bangalore,D2C,G.O.A.T Brand Labs provides a tech-enabled platform for D2C brands to scale.,"Tiger Global, Flipkart Ventures","$36,000,000.00",Series A
Keeros,Lucknow,Food & Beverages,"Keeros Roasted Supersnacks that are Healthy for All, Safe for Diabetics.",Venture Catalysts,$nan,Pre-series A
