Company/Brand,Location,Sector,What it does,Investor,Amount,Stage,Year
Infra.Market,Thane,Construction,Infra.Market is an online procurement marketplace for every category of materials and products needed for building projects.,"InnoVen Capital, Nexus Venture Partners",100000000.0,Series C,2021
Comofi Medtech,Bangalore,HealthTech,"Comofi Medtech develops healthcare products using artificial intelligence, augmented reality and IoT technologies",CIIE.CO,200000.0,,2021
Battery Smart,New Delhi,Battery,Battery Smart provides advanced Li-ion batteries to e-rickshaws.,Orios Venture Partners,0.0,Seed,2021
Kutuki,Bangalore,EdTech,Kutuki is a learning platform focused on children between the ages of three and seven.,Omidyar Network India,2000000.0,Seed,2021
Onelife,Mumbai,HealthCare,"Aspire to leverage the gifts of nature and science to help you make holistic lifestyle changes, with minimalistic effort, improving overall well-being.",Wipro venture capital arm,0.0,,2021
Eupheus,New Delhi,EdTech,Eupheus Learning offers a seamless integrated learning solution for the K-12 market in India.,"Yuj Ventures, Sixth Sense Ventures",4000000.0,Series B,2021
KreditBee,Bangalore,FinTech,KreditBee is an Instant Personal Loan Platform for Young Professionals.,"Premji Invest, Mirae Asset Naver Asia Growth Fund, Alpine Capital",75000000.0,Series C,2021
Pencil,Mumbai,Content publishing,Pencil is a content publishing platform that enables writers to publish their work for free.,"Inflection Point Ventures, SucSEED Venture Partners",1000000.0,Pre-series A,2021
Aisle,Bangalore,Dating,Aisle connects the new generation of single independent Indians from around the world looking for meaningful relationships.,"Anas Rahman Junaid, Vinod Jose",0.0,Pre-series A,2021
Marquee Equity,Mumbai,FinTech,The World's #1 Fundraising Service - Investor Meetings + Deal Documents - Globally,"Capital One, Arrowroot Capital",3800000.0,,2021
UptimeAI,Bangalore,AI,"Enable true digital transformation with AI driven insights, to enable manufacturers stay ten steps ahead of process inefficiencies and equipment failures",YourNest Venture Capital,1500000.0,Seed,2021
WizKlub,Bangalore,EdTech,Wizklub uses a unique method of developing and nurturing Higher Order Thinking Skills in children,Incubate Fund India,800000.0,Pre-series A,2021
Zolve,Bangalore,FinTech,Zolve Innovations operates as a neo-banking startup.,"Kunal Shah, Greg Kidd",15000000.0,Seed,2021
MediBuddy,Bangalore,EdTech,"MediBuddy is a digital healthcare platform for inpatient hospitalization, outpatient services, and corporate wellness benefits.","InnoVen Capital, TEAMFund",3000000.0,Debt,2021
Pariksha,Pune,EdTech,"Pariksha - The Sucess App, India's largest vernacular test preparation company for the mobile 1st internet users of India.","Venture Catalysts, 9Unicorns Accelerator Fund",2000000.0,Pre-series A,2021
Express Stores,Gurugram,E-commerce,Express Stores is a retail and omnichannel startup company,"Venture Highway, Rohit Bansal",1000000.0,Seed,2021
Avataar Ventures,Bangalore,FinTech,Avataar Venture Partners is a growth Capital Investment Firm.,,100000000.0,,2021
Zingbus,Haryana,Transportation,Zingbus is an emerging brand in the intercity bus services.,"Venture Catalysts, 9Unicorns Accelerator Fund",0.0,Pre-series A,2021
Phable,Bangalore,HealthTech,Mobile App for Patients and Doctors,"Fresco Capital, Social Starts",12000000.0,Series A,2021
Codingal,Bangalore,EdTech,Coding education platform for K-12 students,"Y Combinator, Rebright Partners",0.0,,2021
Supply6,Bangalore,Helathcare,Supply6 is a food supplement brand that claims to provide nutritional supplements in drinkable forms such as smoothies.,"Rohit Goutamchand, India CXO Fund",100000.0,Seed,2021
Swajal,Gurugram,Water purification,Swajal uses clean solar energy to purify drinking water at an affordable rate.,"Rajasthan Venture Capital Fund, ACPL Exports",1600000.0,Pre-series A,2021
BharatPe,New Delhi,FinTech,BharatPe develops a QR code-based payment app for offline retailers and businesses.,"Amplo, Insight Partners",100000000.0,Series D,2021
Filo,New Delhi,EdTech,Instant learning platform for students while self study.,Better Capital,260000.0,Pre-seed,2021
Method & Madness,Mumbai,Real Estate,Method & Madness Technology operates as a real-estate tech company.,Justin Mateen,2000000.0,Seed,2021
EduFund,Gujarat,FinTech,Changing the way Indians evaluate and plan higher education,View Trade Holding Corp,300000.0,Pre-seed,2021
Pepperfry,Mumbai,E-commerce,Pepperfry is an online home and lifestyle shopping store selling products with cash on delivery facilities.,"InnoVen Capital, Bertelsmann India Investments",30000000.0,Debt,2021
Zingavita,Chandigarh,HealthTech,"Explore a range of kids nutrition supplements formulated using highest quality ingredients, that are Deliciously Healthy and super fun to consume.",Anicut Angel Fund,400000.0,,2021
Hypd Store,New Delhi,Content commerce,"A shop worthy content platform, personalized!",ScoopWhoop,0.0,Pre-seed,2021
VerSe Innovation,Bangalore,Innovation Management,Owner of Dailyhunt App and I-Pay,"Canaan Valley Capital, Glade Brook Capital Partners",1000000000.0,Series H,2021
Supersourcing,Indore,Software,Build your next app or website with our exclusive network of certified IT companies.,"Vijay Shekhar Sharma, Dr Ritesh Malik",200000.0,Seed,2021
AutomataPi,Powai,Automation,AutomataPi is a next generation cognitive business process automation engine.,Indian Angel Network,400000.0,Seed,2021
Newton School,Bangalore,EdTech,Newton School is a platform to learn and develop skills that you need for your best Tech career.,"RTP Global, Harshil Mathur",5000000.0,Series A,2021
TenderCuts,Chennai,Food Industry,"TenderCuts is an online meat shop that delivers antibiotic-free, hygienic, and farm fresh chicken, free range goat, and seafood.","Paragon Partners, NABVENTURES",15000000.0,,2021
Siply,Bangalore,FinTech,Siply Services operates as a micro-savings platform.,Inflection Point Ventures,1000000.0,Seed,2021
SarvaGram,Mumbai,FinTech,SarvaGram provides livelihood upgradation for aspiring households based in rural and semi-urban India.,Elevation Capital,10000000.0,Series B,2021
Unlu,Gurugram,Celebrity Engagement,Personalised Video Shoutout from top celebrities,EXPERT DOJO,1000000.0,Seed,2021
GlobalFair,Gurugram,Trading platform,One-stop solution for all your procurement needs,"Saama Capital, India Quotient",2000000.0,Seed,2021
Eduvanz,Mumbai,FinTech,"Eduvanz is new, innovative finance company, which is completely revolutionizing the student loan market.","InCred Financial Services, Vivriti Capital, Northern Arc Capital",10000000.0,Debt,2021
OwO,Gurugram,E-commerce,"Shop packaged drinking water, beverages from your favorite brands i.e. Kinley, Bisleri, Aquafina, Coca-cola, Pepsi etc",ah! Ventures,200000.0,,2021
Progcap,New Delhi,FinTech,Progcap is a financial service company that provides financial opportunities for micro and small businesses in the last mile.,"Somak Ghosh, M V Nair",1000000.0,Debt,2021
ABL Workspaces,New Delhi,Hospitality,ABL Workspaces is a co-working space where professionals from all walks of life come to work under one roof.,Wurk,600000.0,Pre-series A,2021
Nazara Technologies,Mumbai,Gaming,"Nazara Technologies develops mobile content such as games, themes, wallpapers, and multimedia.","Plutus Wealth Management, Turtle Entertainment",10000000.0,,2021
Scentials,Mumbai,Personal Care,Scentials is building a unique beauty brands studio platform,"Ambiga Subramanian, Goutham Ekollu",6000000.0,,2021
SplashLearn,Gurugram,EdTech,SplashLearn is an EdTech startup company providing game-based math and reading courses to students in pre-kindergarten to grade five.,"Accel, Owl Ventures",18000000.0,Series C,2021
Maya,Bangalore,HealthTech,Maya enables women to keep track of their health via a mobile application.,Rajan Anadan,2200000.0,Seed,2021
GoTo,Ghaziabad,Transportation,Real Time Intercity City Transit Platform For 1.25 Bn People In India,Jesse Lucas,150000.0,,2021
MediBuddy,Bangalore,HealthTech,MediBuddy is a Trusted Digital Platform for Cashless Healthcare. MediBuddy connects patients with doctors and hospitals.,"IDFC Private Equity, Bessemer Venture Partners",40000000.0,Series B,2021
Zetwerk,Bangalore,E-commerce,Zetwerk is an online marketplace that connects buyers and suppliers for manufacturing jobs.,"Sequoia Capital India, Accel",120000000.0,Series D,2021
Remedico,Hyderabad,HealthCare,Remedico is a Mobile healthcare,"Venture Catalysts, Tahseen Consulting",500000.0,,2021
PrepBytes,Gurugram,EdTech,PrepBytes helps college students to learn coding by personalizing their content along with the guidance of expert mentors from industry,Equanimity Ventures,0.0,,2021
SATYA MicroCapital,New Delhi,FinTech,Satya MicroCapital is a micro finance company based on a group lending model that allows borrowers to share liability.,"BlueOrchard Finance S A, Gojo & Company",20000000.0,,2021
YourPhysio,Nagpur,HealthTech,YourPhysio is a healthcare company on a mission to deliver 10x better patient experience in the domain of physiotherapy.,"Better Capital, Titan Capital",350000.0,Pre-seed,2021
Aviom Housing Finance,New Delhi,FinTech,AVIOM India is an Affordable Housing Finance company facilitating families in mostly semi urban areas in realising their dream of owning their first home.,Gojo & Company,1000000.0,Debt,2021
Hemp Horizons,Noida,Cannabis startup,Cannabis and Hemp company,Mumbai Angels,200000.0,Seed,2021
MPL,Bangalore,Gaming,Mobile Premier League is a skill-based eSports platform used to offer cash prizes while playing games.,"Pegasus Tech Ventures, Base Partners",95000000.0,,2021
Koo,Bangalore,Blogging,Koo App operates as a microblogging app.,"3one4 Capital, Accel",4100000.0,Series A,2021
InnerHour,Mumbai,HealthCare,InnerHour is mental health and wellness platform that provides therapy and diagnostics services and conducts online mental health workshops.,"Hitesh Oberoi, Lightbox",5200000.0,Series A,2021
Origo,Gurugram,AgriTech,"Origo Commodities, a complete post-harvest management financial solution for agricultural commodities.",YES Bank,10000000.0,Debt,2021
ExMyB,Gurugram,Consulting,ExMyB provides financial service and consulting services.,Campus Fund,0.0,Seed,2021
Elucidata,New Delhi,BioTechnology,Elucidata Corporation uses data analytics to transform decision-making processes in R&D labs in biotechnology and pharmaceutical companies.,Hyperplane Venture Capital,5000000.0,Pre-series A,2021
Saveo,Bangalore,HealthTech,Saveo operates a business-to-business e-commerce platform focused on pharmacies.,"Matrix Partners India, RTP Global",4000000.0,Seed,2021
